,Day,Ticker,VaR,ES,Actual_Loss,Is VaR good,Is ES good
81,2018-09-04,WFC,-0.03561334087054835,-0.12721777457057148,0.005444327362135626,True,True
82,2018-08-31,WFC,-0.03561334087054835,-0.12721777457057148,0.00035137034434296055,True,True
83,2018-08-30,WFC,-0.03561334087054835,-0.12721777457057148,-0.00853509841491018,True,True
84,2018-08-29,WFC,-0.03561334087054835,-0.12721777457057148,-0.0017388280299078795,True,True
85,2018-08-28,WFC,-0.03561334087054835,-0.12721777457057148,-0.0005213764337852478,True,True
86,2018-08-27,WFC,-0.03561334087054835,-0.12721777457057148,0.007000350017500878,True,True
87,2018-08-24,WFC,-0.03561334087054835,-0.12721777457057148,0.0010511562718991119,True,True
88,2018-08-23,WFC,-0.03561334087054835,-0.12721777457057148,-0.009199791702829363,True,True
89,2018-08-22,WFC,-0.03561334087054835,-0.12721777457057148,0.0034837136387388945,True,True
90,2018-08-21,WFC,-0.03561334087054835,-0.12721777457057148,-0.0010440229685053648,True,True
91,2018-08-20,WFC,-0.03561334087054835,-0.12721777457057148,0.0027918338858836655,True,True
92,2018-08-17,WFC,-0.03561334087054835,-0.12721777457057148,0.003502013657853409,True,True
93,2018-08-16,WFC,-0.03561334087054835,-0.12721777457057148,0.011512575274530645,True,True
94,2018-08-15,WFC,-0.03561334087054835,-0.12721777457057148,-0.0014149274849664106,True,True
95,2018-08-14,WFC,-0.03561334087054835,-0.12721777457057148,0.00802282046710645,True,True
96,2018-08-13,WFC,-0.03561334087054835,-0.12721777457057148,-0.007607926397735332,True,True
97,2018-08-10,WFC,-0.03561334087054835,-0.12721777457057148,-0.006678383128295162,True,True
98,2018-08-09,WFC,-0.03561334087054835,-0.12721777457057148,-0.005418633106100357,True,True
99,2018-08-08,WFC,-0.03561334087054835,-0.12721777457057148,0.006332453825857565,True,True
100,2018-08-07,WFC,-0.03561334087054835,-0.12721777457057148,-0.001229796205200251,True,True
101,2018-08-06,WFC,-0.03561334087054835,-0.12721777457057148,0.0010552233556102575,True,True
102,2018-08-03,WFC,-0.03561334087054835,-0.12721777457057148,0.009229676961306277,True,True
103,2018-08-02,WFC,-0.03561334087054835,-0.12721777457057148,0.011127063890883138,True,True
104,2018-08-01,WFC,-0.03561334087054835,-0.12721777457057148,0.006139400505597692,True,True
105,2018-07-31,WFC,-0.03561334087054835,-0.12721777457057148,-0.02051644853201262,True,True
106,2018-07-30,WFC,-0.03561334087054835,-0.12721777457057148,-0.002293982706899622,True,True
107,2018-07-27,WFC,-0.03561334087054835,-0.12721777457057148,0.00550035486160394,True,True
108,2018-07-26,WFC,-0.03561334087054835,-0.12721777457057148,0.001421464108031234,True,True
